City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,campbell river,50.0163,-125.2446,290.89,55,75,4.12,CA,1684715566
335,micheweni,-4.9667,39.8333,298.24,86,14,2.95,TZ,1684715566
336,saudarkrokur,65.7461,-19.6394,276.25,69,84,7.94,IS,1684715566
337,keelung,25.1283,121.7419,303.74,78,100,1.13,TW,1684715567
338,san antonio de pale,-1.4014,5.6325,299.44,71,94,4.41,GQ,1684715567
339,horta,38.5333,-28.6333,289.83,81,100,2.68,PT,1684715567
340,nahiyat al fuhud,30.9697,46.7228,303.04,18,20,3.58,IQ,1684715567
341,vadso,70.0744,29.7487,282.64,71,75,3.6,NO,1684715568
342,la huerta,19.4667,-104.65,300.42,48,2,2.07,MX,1684715568
343,new norfolk,-42.7826,147.0587,288.87,66,100,1.79,AU,1684715568
344,callao,-12.0667,-77.15,295.77,73,75,5.14,PE,1684715550
345,hoopstad,-27.8327,25.9083,282.34,34,6,1.34,ZA,1684715569
346,emerald,-23.5333,148.1667,291.67,41,0,7.88,AU,1684715501
347,tuma,55.148,40.5537,285.48,97,100,2.29,RU,1684715569
348,hasaki,35.7333,140.8333,297.2,85,100,3.88,JP,1684715569
349,queenstown,-31.8976,26.8753,277.32,86,95,0.71,ZA,1684715570
350,caxias,38.7031,-9.2767,290.64,75,0,2.24,PT,1684715570
351,novodvinsk,64.4165,40.8122,286.98,62,100,1.1,RU,1684715570
352,huangyan,28.6478,121.2594,297.58,80,49,1.49,CN,1684715571
353,kudahuvadhoo,2.6708,72.8944,301.59,72,8,2.94,MV,1684715571
354,middelburg,-25.7751,29.4648,282.05,40,0,2.4,ZA,1684715571
355,lai chau,22.3997,103.4517,300.09,46,0,1.45,VN,1684715571
356,vilhena,-12.7406,-60.1458,295.32,73,7,0.45,BR,1684715572
357,brookings,44.3114,-96.7984,300.15,36,75,2.57,US,1684715283
358,badger,64.8,-147.5333,295.08,35,0,2.06,US,1684715572
359,hermanus,-34.4187,19.2345,285.15,73,100,4.71,ZA,1684715573
360,tokmok,42.8417,75.3016,286.56,85,100,0.66,KG,1684715573
361,namibe,-15.1961,12.1522,293.01,82,10,1.75,AO,1684715573
362,dwarka,22.2394,68.9678,301.16,77,10,5.3,IN,1684715574
363,santiago,-33.4569,-70.6483,287.2,68,75,4.63,CL,1684715548
